Date,Open,High,Low,Close,Adj Close,Volume
2004-11-01,26.733334,28.000000,25.466665,27.973333,23.467009,153375
2004-11-08,29.333332,29.333332,27.466665,27.866667,23.377522,47760
2004-11-15,27.866667,28.966665,27.000000,27.466665,23.041958,42465
2004-11-22,27.933332,30.700001,27.333332,30.506666,25.592236,156330
2004-11-29,30.593332,31.093332,27.420000,27.773333,23.299223,56370
2004-12-06,28.000000,29.173332,26.666666,29.173332,24.473696,344280
2004-12-13,30.633333,33.866665,28.400000,33.346664,27.974731,320145
2004-12-20,33.333332,36.473331,32.340000,36.473331,30.597715,270570
2004-12-27,38.266666,38.299999,33.666664,36.593334,30.698383,184125
2005-01-03,37.266666,37.666664,34.540001,36.000000,30.200626,95445
2005-01-10,36.000000,38.293331,34.666664,38.293331,32.124516,165840
2005-01-17,39.060001,44.799999,38.473331,44.799999,37.583000,259965
2005-01-24,47.040001,47.266666,41.400002,43.099998,36.156872,214890
2005-01-31,42.466667,48.419998,42.466667,47.133331,39.540459,177885
2005-02-07,47.666664,58.626667,47.666664,58.626667,49.182289,1211655
2005-02-14,60.933334,63.933334,55.340000,56.099998,47.062645,663090
2005-02-21,57.333332,59.693333,54.000000,59.340000,49.780708,146745
2005-02-28,58.000000,64.046669,56.000000,64.046669,53.729168,160170
2005-03-07,66.933334,67.666664,60.853333,65.739998,55.149704,482535
2005-03-14,65.666664,74.559998,64.000000,69.393333,58.214497,1733175
2005-03-21,72.666664,72.666664,65.199997,67.339996,56.491947,170040
2005-03-28,66.040001,73.333336,66.040001,72.639999,60.938148,226815
2005-04-04,73.199997,84.720001,71.466667,84.720001,71.072136,623685
2005-04-11,88.466667,95.000000,83.813332,86.493332,72.559799,406845
2005-04-18,83.406670,92.000000,83.019997,86.166664,72.285767,276390
2005-04-25,87.333336,88.566666,74.213333,76.419998,64.109222,303375
2005-05-02,78.073334,83.000000,74.739998,81.526665,68.393242,146115
2005-05-09,81.466667,88.353333,79.333336,88.353333,74.120163,195720
2005-05-16,90.000000,92.000000,86.806664,89.760002,75.300232,140400
2005-05-23,88.000000,90.599998,86.400002,87.433334,73.348389,140310
2005-05-30,89.666664,89.666664,78.739998,81.260002,68.169533,229155
2005-06-06,78.733330,87.666664,78.139999,85.786667,71.966972,586425
2005-06-13,84.400002,94.426666,84.400002,88.626663,74.349472,371025
2005-06-20,88.199997,95.620003,86.666664,94.393333,79.187172,399900
2005-06-27,94.726669,98.000000,90.000000,97.519997,81.810135,158025
2005-07-04,97.599998,108.139999,96.666664,103.526665,86.849190,930315
2005-07-11,106.599998,121.293335,105.333336,121.293335,101.753738,485070
2005-07-18,127.333336,154.020004,116.666664,154.020004,129.599854,2700195
2005-07-25,161.266663,168.600006,148.139999,151.479996,127.462578,1642935
2005-08-01,153.266663,158.506668,148.666672,153.820007,129.431595,562980
2005-08-08,158.000000,166.493332,152.333328,164.960007,138.805298,1592340
2005-08-15,164.960007,190.973328,164.960007,178.080002,149.845108,1751925
2005-08-22,180.000000,183.333328,156.666672,162.693329,136.897995,528315
2005-08-29,163.399994,170.000000,158.000000,160.046661,134.670975,415140
2005-09-05,165.000000,181.333328,162.333328,170.726669,143.657623,560895
2005-09-12,172.333328,199.333328,168.666672,192.320007,161.827316,1214985
2005-09-19,196.000000,196.660004,163.426666,163.426666,137.515045,923310
2005-09-26,156.666672,181.333328,155.259995,167.073334,140.583542,1599075
2005-10-03,171.326660,191.326660,167.733337,178.166672,149.917984,1168407
2005-10-10,185.633331,185.633331,149.100006,149.100006,125.459900,807428
2005-10-17,143.666672,148.766663,122.666664,131.433334,110.594337,876634
2005-10-24,133.333328,133.333328,116.699997,118.233330,99.487236,361282
2005-10-31,122.000000,136.933334,122.000000,130.533340,109.837059,154803
2005-11-07,132.733337,164.466660,132.000000,162.800003,136.987747,1387204
2005-11-14,163.966660,165.633331,139.000000,148.100006,124.618469,617520
2005-11-21,149.333328,151.933334,136.766663,139.933334,117.746635,740630
2005-11-28,145.333328,149.399994,134.033340,135.899994,114.352783,586237
2005-12-05,138.600006,141.666672,129.600006,136.766663,115.082069,1110982
2005-12-12,139.333328,146.600006,135.399994,144.666672,121.729469,1481807
